"","Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","BAT","GO:0034341","response to type II interferon","9/97","139/18855",0.0647482014388489,12.5858488466958,9.85877812630642,4.08815262334821e-08,9.58028547492062e-05,7.16880808536937e-05,"Actg1/Cd74/Ccl9/H2-Ab1/H2-Aa/H2-Eb1/Ccl6/Vim/Calm1",9
"2","BAT","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","5/97","22/18855",0.227272727272727,44.1776007497657,14.5715062252139,7.97847391356116e-08,9.58028547492062e-05,7.16880808536937e-05,"Cd74/H2-Ab1/H2-Aa/H2-Eb1/Ctss",5
"3","BAT","GO:0045859","regulation of protein kinase activity","14/97","481/18855",0.0291060291060291,5.65767194633174,7.44104500992533,1.65353396812858e-07,9.58028547492062e-05,7.16880808536937e-05,"Lilrb4b/Ppia/Zeb2/Fgfr1/Lyn/Rgs2/Dnaja1/Cdkn1a/Syk/Tnfaip3/Hsp90ab1/Rgcc/Ccnd3/Cd300a",14
"4","BAT","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","5/97","26/18855",0.192307692307692,37.3810467882633,13.3488111755831,1.96076931964053e-07,9.58028547492062e-05,7.16880808536937e-05,"Cd74/H2-Ab1/H2-Aa/H2-Eb1/Ctss",5
"5","BAT","GO:0071900","regulation of protein serine/threonine kinase activity","11/97","279/18855",0.039426523297491,7.66378450282674,8.06382877196129,1.97287592152401e-07,9.58028547492062e-05,7.16880808536937e-05,"Zeb2/Fgfr1/Lyn/Rgs2/Dnaja1/Cdkn1a/Syk/Tnfaip3/Rgcc/Ccnd3/Cd300a",11
"6","BAT","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","5/97","28/18855",0.178571428571429,34.7109720176731,12.8367204112093,2.90578436109112e-07,0.000117587407145487,8.79891896007592e-05,"Cd74/H2-Ab1/H2-Aa/H2-Eb1/Ctss",5
"7","BAT","GO:0007015","actin filament organization","13/97","450/18855",0.0288888888888889,5.61546391752577,7.12603676833663,5.17233444299144e-07,0.00017940611467976,0.000134247357121853,"Actg1/Pdlim1/Zeb2/Cyrib/Rhob/Ezr/Tagln2/Rgcc/Plek/Arhgap18/Capza1/Tmsb4x/Sh3kbp1",13
"8","BAT","GO:0050867","positive regulation of cell activation","12/97","389/18855",0.0308483290488432,5.99634272387565,7.16036166740008,7.38445281544716e-07,0.000224118142948821,0.000167704809992918,"Cd74/H2-Ab1/H2-Aa/Lilrb4b/H2-Eb1/Cyrib/Fgfr1/Cdkn1a/Syk/Plek/Jund/Sh3kbp1",12
"9","BAT","GO:0050854","regulation of antigen receptor-mediated signaling pathway","6/97","65/18855",0.0923076923076923,17.9429024583664,9.83955486311464,1.02518284847925e-06,0.000276571550678625,0.000206955040523414,"Lilrb4b/Lyn/Ezr/Foxp1/Lgals3/Cd300a",6
"10","BAT","GO:0042113","B cell activation","10/97","273/18855",0.0366300366300366,7.12019938824063,7.32478732578092,1.42706190893689e-06,0.000346490631489876,0.000259274616297375,"Cd74/H2-Ab1/Lyn/Cdkn1a/Syk/Tnfaip3/Rbpj/Foxp1/Cd300a/Sh3kbp1",10
"11","BAT","GO:0043409","negative regulation of MAPK cascade","8/97","160/18855",0.05,9.71907216494845,7.96456170927652,1.71941902834263e-06,0.000379522672801446,0.000283992080662141,"Lilrb4b/Ppia/Lyn/Rgs2/Dnaja1/Ezr/Atf3/Cd300a",8
"12","BAT","GO:0051348","negative regulation of transferase activity","9/97","221/18855",0.0407239819004525,7.91598637869105,7.43689368892832,2.07519796862158e-06,0.000419881722317767,0.000314192253845689,"Lilrb4b/Ppia/Lyn/Rgs2/Dnaja1/Cdkn1a/Tnfaip3/Zfp36/Cd300a",9
"13","BAT","GO:0002478","antigen processing and presentation of exogenous peptide antigen","5/97","43/18855",0.116279069767442,22.6024934068569,10.197999274996,2.67763897091762e-06,0.000500100570875999,0.00037421901731205,"Cd74/H2-Ab1/H2-Aa/H2-Eb1/Ctss",5
